year,powerboats,deaths
1977,447,13
1987,645,39
1997,755,54
2007,1027,73
1978,460,21
1988,675,43
1998,809,66
2008,1010,90
1979,481,24
1989,711,50
1999,830,82
2009,982,97
1980,498,16
1990,719,47
2000,880,78
2010,942,83
1981,513,24
1991,681,55
2001,944,81
2011,922,87
1982,512,20
1992,679,38
2002,962,95
2012,902,81
1983,526,15
1993,678,35
2003,978,73
2013,897,73
1984,559,34
1994,696,49
2004,983,69
2014,900,69
1985,585,33
1995,713,42
2005,1010,79
2015,916,86
1986,614,33
1996,732,60
2006,1024,92
2016,931,104
